smiles,gap,mol_weight,exact_mass,polarizability,heat_formation,subset
C,9.519,16.042460000000002,16.031300128,2.185805,430.44644,PQR–QM9 overlap
C,0.0,16.04246,16.031300127999998,2.287129,117.0261,PQR–QM9 overlap
C,19.635,16.04246,16.031300127999998,0.0,-60.26632,PQR–QM9 overlap
C#C,12.83,26.037280000000003,26.015650064,3.513948,239.06159,PQR–QM9 overlap
C#CC#C,10.522,50.058679999999995,50.015650064,6.987179,471.58398,PQR–QM9 overlap
C#CC#CC#C,9.314,74.08008000000001,74.015650064,11.301739,702.12335,PQR–QM9 overlap
C#CC#N,14.549,51.04674,51.010899037,5.933095,376.19807,PQR–QM9 overlap
C#CC(C)(C)C,15.414,82.14360000000003,82.07825032,11.052375,126.2721,PQR–QM9 overlap
C#CC(F)(F)F,12.391,94.0352496,94.003034692,5.612856,-415.28978,PQR–QM9 overlap
C#CC1(C)CC1,11.168,80.12772000000004,80.062600256,10.75904,270.17092,PQR–QM9 overlap
C#CC1(C)CCC1,15.038,94.15430000000003,94.07825032,12.431307,208.59653,PQR–QM9 overlap
C#CC1=CCCCC1,9.643,106.16500000000003,106.07825032,14.399084,217.1576,PQR–QM9 overlap
C#CC1CC1,11.303,66.10114,66.046950192,8.915279,297.58592,PQR–QM9 overlap
C#CC1CCC1,11.767,80.12772000000004,80.062600256,10.601506,236.46463,PQR–QM9 overlap
C#CC1CCCC1,15.248,94.15430000000003,94.07825032,12.375652,164.4598,PQR–QM9 overlap
C#CC1CCCCC1,11.865,108.18088000000006,108.093900384,14.305444,130.48361,PQR–QM9 overlap
C#CCC(C)(C)C,12.25,96.17018000000006,96.093900384,12.857097,102.4852,PQR–QM9 overlap
C#CCCC#C,11.787,78.11184000000003,78.046950192,10.417085,425.74222,PQR–QM9 overlap
C#CCCC(C)C,11.913,96.17018000000006,96.093900384,12.853438,111.40096,PQR–QM9 overlap
C#CCCC(C)C,0.0,96.17018000000006,96.093900384,12.571638,206.31238,PQR–QM9 overlap
C#CCCCC(C)C,11.99,110.19676000000008,110.109550448,14.743583,87.59269,PQR–QM9 overlap
C#CCOCC#C,10.498,94.11124000000004,94.041864812,11.13918,329.34503,PQR–QM9 overlap
C#Cc1ccccc1,8.862,102.13324,102.046950192,13.828921,331.83604,PQR–QM9 overlap
C#Cc1ccccc1N,8.242,117.14788000000004,117.057849229,15.30547,322.95254,PQR–QM9 overlap
C#Cc1ccccn1,12.196,103.12130000000003,103.042199165,13.066147,383.99187,PQR–QM9 overlap
C#N,17.713,27.025340000000003,27.010899037,2.718676,124.87923,PQR–QM9 overlap
C#N,0.0,27.02534,27.010899037,2.625546,429.84913,PQR–QM9 overlap
C1=CC=CC=CC=C1,9.189,104.14912000000004,104.062600256,13.786127,249.49134,PQR–QM9 overlap
C1=CC=CC=CC=C1,8.883000000000001,104.14912000000004,104.062600256,13.855663,249.50761,PQR–QM9 overlap
C1CC1,13.765,42.07973999999999,42.046950192,5.867671,50.28594,PQR–QM9 overlap
C1CC1C1CC1,12.494,82.14360000000005,82.07825032,11.029427,123.33085,PQR–QM9 overlap
C1CC1OC1CC1,11.693,98.14300000000006,98.07316494,11.662909,-0.52325,PQR–QM9 overlap
C1CC2(C1)CC2,16.13,82.14360000000005,82.07825032,10.852568,86.74931,PQR–QM9 overlap
C1CC2(C1)CCC2,13.869,96.17018000000006,96.093900384,12.559839,21.88548,PQR–QM9 overlap
C1CCC1,17.747,56.10631999999998,56.062600256,7.603578,-9.51471,PQR–QM9 overlap
C1CCC2(C1)CC2,15.973,96.17018000000006,96.093900384,12.670089,4.59415,PQR–QM9 overlap
C1CCC2(C1)CCCC2,14.195,124.22334000000008,124.125200512,16.163824,-125.39578,PQR–QM9 overlap
C1CCC2(CC1)CC2,15.93,110.19676000000008,110.109550448,14.552115,-25.41505,PQR–QM9 overlap
C1CCC2(CC1)CCC2,13.71,124.22334000000008,124.125200512,16.240296,-85.92568,PQR–QM9 overlap
C1CCCC1,14.908,70.13290000000002,70.07825032,9.420658,-83.58616,PQR–QM9 overlap
C1CCCCC1,8.072,84.1595,84.09390038,15.98741,336.26277,PQR–QM9 overlap
C1CCCCC1,14.65,84.15948000000006,84.093900384,11.279532,-100.46264,PQR–QM9 overlap
C1CCCCCC1,14.962,98.18606000000004,98.109550448,13.107152,-116.66374,PQR–QM9 overlap
C1CCCCCCC1,14.681,112.21264000000004,112.125200512,14.934845,-126.02768,PQR–QM9 overlap
