smiles,gap,mol_weight,exact_mass,dipole_moment,heat_formation,polarizability,subset
CCNC(=O)CC,14.124,101.14694000000006,101.084063977,3.79,-279.38814,11.439431,QM9-overlap reference
Nc1ncco1,12.362,84.07666000000002,84.032362758,2.516,4.87052,8.15199,QM9-overlap reference
CC(=O)NC(C)(C)C,14.205000000000002,115.17352000000008,115.099714041,3.78,-320.47516,13.176383,QM9-overlap reference
CCC(=O)OC1(C)CC1,11.256,128.16898000000006,128.083729624,1.646,-361.5073,14.100368,QM9-overlap reference
CCNC(=O)OC,10.553,103.11976000000004,103.063328533,2.594,-413.63009,10.244373,QM9-overlap reference
CCCC(C)C,18.099,86.17536000000007,86.109550448,0.103,-161.71928,11.77093,Psi4-recomputed reference
CNc1ccccc1,8.694,107.15306000000004,107.073499293,2.099,92.1022,13.781793,QM9-overlap reference
Cc1ccno1,10.218,83.08860000000003,83.037113785,3.197,47.52481,8.752546,QM9-overlap reference
O=CN1CCCC1,13.656,99.13106000000003,99.068413913,4.652,-186.08195,11.040787,QM9-overlap reference
O=CNC=O,13.699,73.05072000000001,73.016378341,2.799,-331.51954,6.39761,QM9-overlap reference
CCCCCC#N,15.782,97.15824000000006,97.089149357,4.112,-6.61096,12.040671,QM9-overlap reference
NC(=O)C1CC1,14.602,85.10448000000004,85.052763849,3.891,-125.96598,9.087477,QM9-overlap reference
CC(=O)c1ccccn1,12.375,121.13658000000004,121.052763849,2.943,-39.42972,13.637124,QM9-overlap reference
CCCC(=O)CC(C)C,13.927,128.2120400000001,128.120115132,3.081,-335.18548,15.595733,QM9-overlap reference
C#Cc1ccccc1N,8.242,117.14788000000004,117.057849229,1.827,322.95254,15.30547,QM9-overlap reference
OCCCCCO,13.415,104.14758000000003,104.083729624,2.66,-467.40691,11.140003,QM9-overlap reference
COCCC(C)(C)C,11.995,116.20134000000007,116.120115132,1.477,-307.24103,14.257007,QM9-overlap reference
CCCCCO,13.151,88.14818000000005,88.088815004,2.101,-304.41366,10.559516,Psi4-recomputed reference
COC(=O)CC#N,11.896,99.08800000000002,99.032028405,4.956,-246.31733,9.242659,QM9-overlap reference
CCC(CC)CC,17.895,100.20194000000008,100.125200512,0.069,-174.98603,13.579877,QM9-overlap reference
CCOC1CCCC1,11.98,114.18546000000008,114.104465068,1.203,-272.63389,13.771961,QM9-overlap reference
COCCO,0.0,76.09442000000003,76.052429496,1.869,-185.75766,7.359229,QM9-overlap reference
CCCNC(=O)C1CC1,13.812,127.18422000000004,127.099714041,3.618,-175.61141,14.716668,QM9-overlap reference
CNC=O,14.102,59.0672,59.037113785,4.523,-183.37236,5.968429,QM9-overlap reference
CC1=CCCC1,10.223,82.14360000000005,82.07825032,0.5670000000000001,-19.96983,11.071827,QM9-overlap reference
CCC,15.393,44.09561999999998,44.062600256,0.059,-96.59672,6.300604,QM9-overlap reference
N#CC1CC1,15.541,67.08920000000002,67.042199165,3.877,184.40308,7.98655,QM9-overlap reference
CCNC(=O)C1CCC1,14.058,127.18422000000004,127.099714041,3.794,-217.47459,14.571665,QM9-overlap reference
CC#CCC(C)(C)C,11.509,110.19676000000008,110.109550448,0.173,57.50265,14.907495,QM9-overlap reference
C[C@@H]1C[C@H]1/C=C\C1(C)CC1,10.061,136.23403999999994,136.125200512,0.479,124.43176,18.3013,Psi4-recomputed reference
CC(=O)CC(C)(C)C,13.975,114.18546000000008,114.104465068,3.028,-318.0325,13.712825,QM9-overlap reference
CCCOC(=O)C(C)C,11.511,130.18486,130.099379688,1.838,-499.81264,14.536427,QM9-overlap reference
CCC(=O)CC(C)(C)C,13.896,128.2120400000001,128.120115132,2.811,-334.45277,15.550135,QM9-overlap reference
CCCCCCCO,13.38,116.20134000000007,116.120115132,1.837,-340.15221,14.233462,QM9-overlap reference
CC(=O)C1(C)CCC1,13.847,112.16958000000008,112.088815004,3.183,-212.25871,13.243616,QM9-overlap reference
CCCO,16.394,60.095019999999984,60.057514876,1.867,-255.66655,6.8930810000000005,QM9-overlap reference
CC1CCC1,17.61,70.13290000000002,70.07825032,0.197,-36.6684,9.434538,QM9-overlap reference
C[C@@H]1CC[C@H]1[C@@H]1O[C@@H]1[C@@H]1CC1(C)C,15.082999999999998,180.28659999999985,180.15141526,1.826,-58.22898,22.153761,Psi4-recomputed reference
COC(=O)CC(=O)OC,11.833,132.11461999999997,132.042258736,3.103,-725.71775,11.71884,QM9-overlap reference
CCOC(=O)CN(C)C,10.287,131.17292,131.094628661,2.352,-399.48008,13.924136,QM9-overlap reference
O=C1CCCC1,11.065,84.11642000000003,84.057514876,3.286,-224.41532,9.645889,QM9-overlap reference
CCC(CC)(CC)CC,17.725,128.25510000000008,128.15650064,0.009,-210.19595,17.22393,QM9-overlap reference
CCOCc1ccco1,9.391,126.15310000000004,126.06807956,1.62,-222.80381,13.921933,QM9-overlap reference
COC(=O)C(C)C,11.489,102.13170000000004,102.06807956,1.711,-446.70776,10.8184,QM9-overlap reference
