id,smiles,domain,charge,multiplicity,basis,homo_ev,lumo_ev,gap,pqr_gap,pred_qm9_aligned_gap,cycle_error,final_confidence
pqr_0000,O=C1c2ccccc2N=C2CCC[N+]12,charged_or_radical,1,2,"6-31G(d,p)",-11.618980267701854,-9.824925037062776,1.7940552306390782,8.447999999999999,5.616362517550057,2.72922712734494,low_confidence
pqr_0001,CC[C@@H](C)/C=C(C)/C=C/C(=O)C1=C(O)C(c2ccc(O)cc2)=C[N+](O)C1=O,charged_or_radical,1,2,"6-31G(d,p)",-9.15861222049448,-8.66081958724204,0.4977926332524398,7.757,5.660152036659913,3.4053799456650644,low_confidence
pqr_0002,COc1cc(-c2[oH+]c3cc(O)cc(O)c3c(=O)c2OC)ccc1O,charged_or_radical,1,1,"6-31G(d,p)",-8.779497046195685,-5.3937493433155055,3.3857477028801792,7.678000000000001,5.533829746129358,3.0110322465448327,low_confidence
pqr_0003,COc1c2ccoc2cc2[oH+]c(=O)ccc12,charged_or_radical,1,1,"6-31G(d,p)",-10.04161927423113,-6.465531357186788,3.5760879170443416,8.003,5.39738606605211,2.704666868492991,low_confidence
pqr_0004,O=C1C2=Nc3ccccc3C(=O)[N+]2c2ccccc21,charged_or_radical,1,2,"6-31G(d,p)",-10.919968895184114,-9.866946155881658,1.0530227393024554,10.656,5.388876092834163,0.1733548837441958,low_confidence
pqr_0005,CC(C)=CCc1c(O)c(C(=O)CC(C)C)c(O)c2c(-c3ccccc3)cc(=O)[oH+]c12,charged_or_radical,1,1,"6-31G(d,p)",-9.394788178813734,-5.9402758240671165,3.454512354746617,7.980999999999999,5.56974114717196,3.3459417993419285,low_confidence
pqr_0006,COc1cc2nccc(Oc3ccc(NC(=O)C4=CC=C[N+](Cc5ccccc5)C4=O)nc3)c2cc1OC,charged_or_radical,1,2,"6-31G(d,p)",-8.673681961337719,-8.276343537914777,0.3973384234229438,10.251,5.557859156475567,0.730501578412774,low_confidence
pqr_0007,O=C(O)c1ccc2[oH+]c3ccc(OCCO)cc3c(=O)c2c1,charged_or_radical,1,1,"6-31G(d,p)",-9.672014944585476,-6.128112287370592,3.543902657214884,8.003,5.579716939020444,2.874383726306611,low_confidence
pqr_0008,COc1cc(O)cc2cc3[oH+]c(C)cc(=O)c3c(O)c12,charged_or_radical,1,1,"6-31G(d,p)",-8.787493871871426,-5.533286662839201,3.254207209032226,10.937,5.37192864219395,0.2324354699612829,low_confidence
pqr_0009,O=C1[NH+]C=C(c2ccncc2)C=C1NC(=O)c1ccccc1,charged_or_radical,1,2,"6-31G(d,p)",-9.878440235550697,-9.154224099938222,0.7242161356124733,10.868,5.44553778591561,0.0102945721191076,low_confidence
pqr_0010,COc1c(O)cc2[oH+]c3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2c1CC=C(C)C,charged_or_radical,1,1,"6-31G(d,p)",-7.706103044564006,-4.901197399472814,2.8049056450911927,7.901000000000001,5.664419080834104,3.118849131701835,low_confidence
pqr_0011,COc1c(O)c(=O)[oH+]c2c(O)cccc12,charged_or_radical,1,1,"6-31G(d,p)",-10.058007514981654,-6.396962206124559,3.6610453088570942,8.081,5.656601169428482,2.443040909004212,low_confidence
pqr_0012,CC1=C(Oc2cc(Cl)cc(C#N)c2)C(=O)[N+](Cc2[nH]nc3ncccc23)C=C1,charged_or_radical,1,2,def2-SVP,-9.87906680994246,-9.15521533588351,0.723851474058952,11.264,5.602343039903628,0.2653668508855542,low_confidence
pqr_0013,NC1=Cc2ccccc2[NH+]C1=S,charged_or_radical,1,2,def2-SVP,-10.477859515878526,-9.012772372105449,1.4650871437730784,6.741,5.334863351141454,4.011879596784739,low_confidence
pqr_0014,COc1ccc(-c2cc(=O)c3c(OC)cc(OC)c(OC)c3[oH+]2)cc1,charged_or_radical,1,1,"6-31G(d,p)",-9.051366451740314,-5.295865897925217,3.755500553815098,8.299,5.632548146583334,2.2974125102976792,low_confidence
pqr_0015,O=C1[NH+]c2ccc([N+](=O)[O-])cc2[NH+]C1=O,charged_or_radical,2,3,"6-31G(d,p)",-16.549943344744253,-15.606990250670464,0.9429530940737894,7.755999999999999,5.517466457664355,3.5187520218031567,low_confidence
pqr_0016,O=c1ccc2ccc(OS(=O)(=O)O)cc2[oH+]1,charged_or_radical,1,1,def2-SVP,-11.272935553504244,-7.2728950090418785,4.000040544462368,7.95,5.538988094429859,2.7700739190402848,low_confidence
pqr_0017,COC1=C(C)C(=O)C2=CC(=O)[N+](C)C=C2C1=O,charged_or_radical,1,2,"6-31G(d,p)",-10.944591930256127,-10.118273352850853,0.8263185774052741,7.955,5.4802480889612095,3.455980573169932,low_confidence
pqr_0018,COc1ccc(-c2[oH+]c3cc(OC)c(O)c(O)c3c(=O)c2O)cc1,charged_or_radical,1,1,"6-31G(d,p)",-9.059300757435604,-5.363161618856023,3.696139138579579,7.94,5.536994838182665,2.784606383194705,low_confidence
pqr_0019,O=c1cc(-c2ccc3c(c2)OCO3)[oH+]c2ccccc12,charged_or_radical,1,1,"6-31G(d,p)",-9.32007237162548,-6.021333200046748,3.2987391715787324,11.176,5.381434270105053,0.402698359548582,low_confidence
pqr_0020,O=C1c2ccccc2N=C[N+]1c1nn[nH]n1,charged_or_radical,1,2,"6-31G(d,p)",-11.892110965692252,-10.312664475168262,1.5794464905239902,7.980999999999999,5.562486747316136,2.835389144012267,low_confidence
pqr_0021,COc1cc(O)c2c(=O)c(O)c(-c3ccc(OC)c(O)c3)[oH+]c2c1,charged_or_radical,1,1,"6-31G(d,p)",-8.917177560342624,-5.641826611772372,3.275350948570253,8.434,5.541854596708955,2.306827484768778,low_confidence
pqr_0022,COc1ccc2cc(C(C)=O)c(=O)[oH+]c2c1,charged_or_radical,1,1,"6-31G(d,p)",-10.186158637562432,-6.906387100492674,3.2797715370697578,11.064,5.356678625998821,0.2967112613457203,low_confidence
pqr_0023,COc1cc(-c2[oH+]c3cc(OC)c(OC)c(O)c3c(=O)c2OC)ccc1O,charged_or_radical,1,1,"6-31G(d,p)",-8.621321609967247,-5.229673877087936,3.391647732879312,7.697,5.671662751455109,2.951141322860999,low_confidence
